,income_78,edu_year,age,edu_level,income_at_23,ln_income_at_23
0,9930.046,11,37,Secondary,46406.21,10.745189
1,3595.894,9,22,Secondary,16804.736,9.729416
2,24909.45,12,30,Secondary,116409.64,11.66487
3,7506.146,11,27,Secondary,35078.566,10.465345
4,289.7899,8,33,Secondary,1354.2787,7.2110243
5,4056.494,9,22,Secondary,18957.264,9.849942
6,8472.158,11,32,Secondary,39593.043,10.586409
7,2164.022,16,22,Post-Secondary,10113.151,9.221592
8,12418.07,12,33,Secondary,58033.523,10.968776
9,8173.908,9,19,Secondary,38199.23,10.5505705
10,17094.64,13,21,Post-Secondary,79888.6,11.288388
11,18739.93,10,27,Secondary,87577.55,11.38028
12,3023.879,7,17,Secondary,14131.531,9.556164
13,3228.503,10,19,Secondary,15087.804,9.621642
14,14581.86,13,27,Post-Secondary,68145.59,11.129402
15,7693.4,10,23,Secondary,35953.664,10.489986
16,10804.32,12,40,Secondary,50491.97,10.82957
17,10747.35,12,26,Secondary,50225.727,10.824283
18,5149.501,14,41,Post-Secondary,24065.229,10.088523
19,6408.95,9,38,Secondary,29951.027,10.307319
20,1991.4,11,24,Secondary,9306.435,9.138461
21,11163.17,10,18,Secondary,52168.984,10.862244
22,9642.999,11,29,Secondary,45064.75,10.715856
23,9897.049,11,25,Secondary,46252.004,10.74186
24,11142.87,10,27,Secondary,52074.117,10.860423
25,16218.04,10,17,Secondary,75791.97,11.235747
26,995.7002,11,24,Secondary,4653.2183,8.445314
27,6551.592,4,48,Elementary,30617.637,10.329331
28,1574.424,11,25,Secondary,7357.7754,8.903513
29,3191.753,12,25,Secondary,14916.06,9.610194
30,20505.93,14,42,Post-Secondary,95830.62,11.470338
31,6181.88,5,25,Elementary,28889.857,10.271246
32,5911.551,12,23,Secondary,27626.525,10.226532
33,3094.156,8,46,Secondary,14459.958,9.579139
34,1254.582,12,21,Secondary,5863.054,8.676426
35,13188.83,9,19,Secondary,61635.527,11.028994
36,8061.485,8,17,Secondary,37673.84,10.536721
37,2787.96,8,18,Secondary,13029.009,9.474934
38,3972.54,11,20,Secondary,18564.922,9.829029
39,12187.41,5,25,Elementary,56955.58,10.9500265
40,4843.176,12,23,Secondary,22633.674,10.027194
41,8087.487,11,31,Secondary,37795.355,10.539942
42,2348.973,12,25,Secondary,10977.484,9.303601
43,590.7818,11,30,Secondary,2760.908,7.923315
44,1067.506,9,37,Secondary,4988.789,8.514949
45,7284.986,4,41,Elementary,34045.016,10.435439
46,13167.52,14,42,Post-Secondary,61535.938,11.027377
47,1048.432,11,22,Secondary,4899.6504,8.49692
48,1923.938,8,29,Secondary,8991.164,9.103997
49,4666.236,10,35,Secondary,21806.78,9.989976
50,549.2984,11,27,Secondary,2567.0432,7.85051
51,762.9146,4,29,Elementary,3565.3386,8.179014
52,10694.29,9,28,Secondary,49977.76,10.819333
53,8546.715,5,45,Elementary,39941.473,10.595171
54,7479.656,13,29,Post-Secondary,34954.77,10.46181
55,647.2046,13,46,Post-Secondary,3024.5894,8.01453
56,11965.81,12,25,Secondary,55919.97,10.931677
57,9598.541,15,28,Post-Secondary,44856.984,10.711235
58,18783.35,11,25,Secondary,87780.47,11.382594
59,18678.08,12,22,Secondary,87288.51,11.376974
60,23005.6,11,40,Secondary,107512.36,11.5853615
61,6456.697,11,22,Secondary,30174.162,10.314741
62,2321.107,12,18,Secondary,10847.259,9.291668
63,4941.849,12,38,Secondary,23094.807,10.047363
64,3881.284,8,23,Secondary,18138.453,9.80579
65,17230.96,11,26,Secondary,80525.664,11.296331
66,8048.603,12,21,Secondary,37613.637,10.535122
67,14509.93,11,31,Secondary,67809.44,11.124456
68,9983.784,12,21,Secondary,46657.344,10.750586
69,5587.503,12,25,Secondary,26112.148,10.170156
70,4482.845,9,18,Secondary,20949.738,9.949882
71,2456.153,12,42,Secondary,11478.371,9.34822
72,26817.6,9,31,Secondary,125327.03,11.738682
73,9265.788,10,26,Secondary,43301.926,10.675952
74,485.2298,11,25,Secondary,2267.6306,7.726491
75,4814.627,11,18,Secondary,22500.258,10.021282
76,7458.105,11,19,Secondary,34854.055,10.458925
77,34099.28,13,27,Post-Secondary,159356.61,11.9789
78,1953.268,9,17,Secondary,9128.231,9.119127
79,8881.665,9,20,Secondary,41506.797,10.633613
80,6210.67,9,17,Secondary,29024.402,10.275892
81,929.8839,11,18,Secondary,4345.638,8.376928
82,12558.02,12,21,Secondary,58687.55,10.979983
83,22163.25,12,27,Secondary,103575.8,11.548059
84,1652.637,12,20,Secondary,7723.289,8.951996
85,8124.715,10,19,Secondary,37969.332,10.544534
86,671.3318,12,23,Secondary,3137.3433,8.051131
87,17814.98,14,29,Post-Secondary,83254.98,11.329663
88,9737.154,10,18,Secondary,45504.766,10.725573
89,17685.18,9,19,Secondary,82648.375,11.3223505
90,4321.705,11,18,Secondary,20196.68,9.913274
91,1773.423,9,27,Secondary,8287.76,9.022535
92,11233.26,10,23,Secondary,52496.535,10.868503
93,559.4432,12,23,Secondary,2614.453,7.86881
94,1085.44,11,20,Secondary,5072.6,8.531609
95,5445.2,9,17,Secondary,25447.123,10.144358
96,60307.93,11,28,Secondary,281837.8,12.549088
97,1460.36,11,26,Secondary,6824.7188,8.828306
98,6943.342,11,20,Secondary,32448.406,10.387406
99,4032.708,11,24,Secondary,18846.105,9.844062
100,10363.27,9,31,Secondary,48430.797,10.787891
101,4232.309,8,23,Secondary,19778.904,9.892371
102,11141.39,10,18,Secondary,52067.2,10.860291
103,13385.86,11,26,Secondary,62556.312,11.043822
104,4849.559,9,24,Secondary,22663.506,10.028511
105,1660.508,10,24,Secondary,7760.073,8.956747
106,2484.549,12,31,Secondary,11611.074,9.3597145
107,4146.603,11,19,Secondary,19378.373,9.871913
108,9970.681,8,19,Secondary,46596.11,10.749272
109,26372.28,11,26,Secondary,123245.91,11.721937
110,5615.189,10,20,Secondary,26241.533,10.175098
111,3196.571,10,28,Secondary,14938.576,9.611702
112,6167.681,12,24,Secondary,28823.502,10.268947
113,7535.942,8,19,Secondary,35217.812,10.469307
114,8484.239,12,23,Secondary,39649.504,10.587833
115,1294.409,9,42,Secondary,6049.178,8.707678
116,5010.342,9,18,Secondary,23414.895,10.061128
117,9371.037,12,21,Secondary,43793.785,10.687247
118,4279.613,8,21,Secondary,19999.969,9.903486
119,3462.564,9,22,Secondary,16181.644,9.691633
120,7382.549,4,31,Elementary,34500.957,10.448742
121,10976.51,12,29,Secondary,51296.66,10.845381
122,13829.62,10,19,Secondary,64630.14,11.076436
123,6788.463,11,19,Secondary,31724.61,10.364848
124,9558.501,9,31,Secondary,44669.863,10.707054
125,13228.28,10,22,Secondary,61819.89,11.0319805
126,743.6666,9,21,Secondary,3475.3867,8.153461
127,5522.788,10,17,Secondary,25809.715,10.158506
128,1424.944,12,26,Secondary,6659.2085,8.803756
129,1358.643,9,20,Secondary,6349.3633,8.75611
130,672.8773,10,26,Secondary,3144.5662,8.0534315
131,10092.83,12,22,Secondary,47166.95,10.761449
132,6281.433,11,33,Secondary,29355.102,10.287222
133,12590.71,12,22,Secondary,58840.324,10.982583
134,5112.014,10,29,Secondary,23890.041,10.081217
135,15952.6,12,33,Secondary,74551.484,11.219245
136,36646.95,14,25,Post-Secondary,171262.66,12.050954
137,12803.97,9,35,Secondary,59836.953,10.999379
138,3786.628,8,35,Secondary,17696.096,9.781099
139,4181.942,11,33,Secondary,19543.521,9.880399
140,25564.67,11,45,Secondary,119471.695,11.690835
141,13496.08,14,21,Post-Secondary,63071.402,11.052023
142,25564.67,12,38,Secondary,119471.695,11.690835
143,25564.67,6,48,Elementary,119471.695,11.690835
144,9860.869,8,18,Secondary,46082.926,10.738198
145,25564.67,11,22,Secondary,119471.695,11.690835
146,18059.3,10,48,Secondary,84396.76,11.343285
147,15739.27,11,18,Secondary,73554.53,11.205782
148,25564.67,9,48,Secondary,119471.695,11.690835
149,3924.842,12,45,Secondary,18342.014,9.81695
150,25564.67,14,34,Post-Secondary,119471.695,11.690835
151,6847.785,10,16,Secondary,32001.842,10.3735485
152,25564.67,10,53,Secondary,119471.695,11.690835
153,8777.696,12,19,Secondary,41020.918,10.621838
154,19214.88,12,27,Secondary,89797.15,11.405309
155,9179.637,10,32,Secondary,42899.312,10.666611
156,25564.67,12,27,Secondary,119471.695,11.690835
157,23903.71,13,24,Post-Secondary,111709.516,11.623657
158,6556.673,13,22,Post-Secondary,30641.383,10.330107
159,4755.324,10,17,Secondary,22223.117,10.008888
160,20923.13,14,29,Post-Secondary,97780.336,11.4904785
161,10267.24,16,28,Post-Secondary,47982.023,10.778582
162,19339.01,12,46,Secondary,90377.24,11.411748
163,4753.846,17,26,Higher Edu,22216.209,10.008577
164,25564.67,12,49,Secondary,119471.695,11.690835
165,25564.67,10,51,Secondary,119471.695,11.690835
166,10348.52,10,51,Secondary,48361.867,10.786467
167,18490.79,11,27,Secondary,86413.24,11.366897
168,13105.96,10,27,Secondary,61248.25,11.022691
169,25564.67,10,38,Secondary,119471.695,11.690835
170,8414.175,8,32,Secondary,39322.07,10.579541
171,25564.67,14,34,Post-Secondary,119471.695,11.690835
172,25564.67,18,26,Higher Edu,119471.695,11.690835
173,6753.21,13,21,Post-Secondary,31559.861,10.359641
174,16461.87,8,39,Secondary,76931.46,11.25067
175,14438.87,11,22,Secondary,67477.35,11.119547
176,12634.56,9,44,Secondary,59045.246,10.986059
177,13518.24,10,26,Secondary,63174.965,11.053663
178,13741.38,4,54,Elementary,64217.766,11.070035
179,19941.92,12,42,Secondary,93194.83,11.442448
180,6170.986,12,25,Secondary,28838.945,10.269482
181,25564.67,11,44,Secondary,119471.695,11.690835
182,25564.67,12,33,Secondary,119471.695,11.690835
183,25564.67,12,40,Secondary,119471.695,11.690835
184,23574.17,16,25,Post-Secondary,110169.47,11.609776
185,11264.71,12,33,Secondary,52643.51,10.871298
186,18437.59,13,52,Post-Secondary,86164.625,11.364015
187,25564.67,14,54,Post-Secondary,119471.695,11.690835
188,18207.07,15,27,Post-Secondary,85087.336,11.351434
189,6148.82,10,51,Secondary,28735.357,10.265883
190,15468.84,12,42,Secondary,72290.73,11.188451
191,25564.67,10,50,Secondary,119471.695,11.690835
192,9043.687,10,47,Secondary,42263.977,10.6516905
193,20055.71,12,28,Secondary,93726.61,11.448137
194,25564.67,12,33,Secondary,119471.695,11.690835
195,22254.56,13,33,Post-Secondary,104002.52,11.552171
196,25564.67,16,55,Post-Secondary,119471.695,11.690835
197,25564.67,12,38,Secondary,119471.695,11.690835
198,25564.67,16,39,Post-Secondary,119471.695,11.690835
199,25564.67,17,27,Higher Edu,119471.695,11.690835
200,4306.095,9,16,Secondary,20123.729,9.909655
201,23590.43,12,35,Secondary,110245.45,11.610464
202,20267.02,11,51,Secondary,94714.12,11.458618
203,5532.608,16,27,Post-Secondary,25855.607,10.160283
204,18719.84,14,28,Post-Secondary,87483.664,11.379208
205,25564.67,18,35,Higher Edu,119471.695,11.690835
206,21496.49,10,39,Secondary,100459.82,11.517513
207,25564.67,12,33,Secondary,119471.695,11.690835
208,12429.16,16,52,Post-Secondary,58085.35,10.969668
209,13943.83,13,22,Post-Secondary,65163.88,11.084661
210,19003.56,12,25,Secondary,88809.58,11.39425
211,17295.31,16,27,Post-Secondary,80826.39,11.300058
212,8590.025,13,30,Post-Secondary,40143.875,10.600225
213,14348.73,15,28,Post-Secondary,67056.1,11.113285
214,22261.95,12,24,Secondary,104037.05,11.552503
215,13714.78,11,29,Secondary,64093.457,11.068098
216,15965.36,7,49,Secondary,74611.12,11.220045
217,17051.49,12,22,Secondary,79686.945,11.285861
218,25564.67,16,30,Post-Secondary,119471.695,11.690835
219,25564.67,12,44,Secondary,119471.695,11.690835
220,25564.67,12,21,Secondary,119471.695,11.690835
221,18650.39,13,26,Post-Secondary,87159.11,11.37549
222,20986.67,16,25,Post-Secondary,98077.27,11.493511
223,17010.11,8,45,Secondary,79493.56,11.283431
224,1693.475,9,19,Secondary,7914.138,8.976406
225,12201.59,9,55,Secondary,57021.844,10.95119
226,17482.98,12,22,Secondary,81703.44,11.310851
227,25564.67,18,37,Higher Edu,119471.695,11.690835
228,25298.68,12,38,Secondary,118228.64,11.680376
229,2639.22,13,29,Post-Secondary,12333.9,9.420107
230,1301.877,8,43,Secondary,6084.078,8.71343
231,4.43318,10,51,Secondary,20.717636,3.0309854
232,13903.93,14,25,Post-Secondary,64977.41,11.081795
233,10394.33,12,52,Secondary,48575.953,10.790884
234,25564.67,14,26,Post-Secondary,119471.695,11.690835
235,25564.67,18,37,Higher Edu,119471.695,11.690835
236,25564.67,12,36,Secondary,119471.695,11.690835
237,21258.57,14,27,Post-Secondary,99347.945,11.506384
238,25564.67,11,21,Secondary,119471.695,11.690835
239,19081.88,12,44,Secondary,89175.59,11.398363
240,25564.67,17,49,Higher Edu,119471.695,11.690835
241,7246.771,0,32,None,33866.426,10.43018
242,22872.25,12,23,Secondary,106889.17,11.579548
243,20485.72,12,46,Secondary,95736.18,11.469352
244,19808.92,10,17,Secondary,92573.27,11.435756
245,22545.67,12,26,Secondary,105362.96,11.565166
246,25564.67,12,27,Secondary,119471.695,11.690835
247,25564.67,15,30,Post-Secondary,119471.695,11.690835
248,25523.29,12,23,Secondary,119278.31,11.689215
249,25564.67,12,22,Secondary,119471.695,11.690835
250,25564.67,18,30,Higher Edu,119471.695,11.690835
251,25564.67,14,32,Post-Secondary,119471.695,11.690835
252,25564.67,14,27,Post-Secondary,119471.695,11.690835
253,12602.05,12,18,Secondary,58893.32,10.983483
254,25564.67,18,33,Higher Edu,119471.695,11.690835
255,3270.209,16,23,Post-Secondary,15282.709,9.634478
256,10890.84,15,21,Post-Secondary,50896.3,10.837545
257,7972.335,12,18,Secondary,37257.215,10.5256
258,25564.67,16,32,Post-Secondary,119471.695,11.690835
259,25564.67,12,41,Secondary,119471.695,11.690835
260,25564.67,12,48,Secondary,119471.695,11.690835
261,25564.67,18,25,Higher Edu,119471.695,11.690835
262,14265.97,16,23,Post-Secondary,66669.336,11.1075
263,2167.825,10,44,Secondary,10130.924,9.223348
264,7942.78,11,17,Secondary,37119.094,10.521887
265,594.0461,12,23,Secondary,2776.163,7.928825
266,24401.7,8,47,Secondary,114036.77,11.644277
267,19136.56,8,49,Secondary,89431.13,11.401224
268,25564.67,18,36,Higher Edu,119471.695,11.690835
269,25564.67,14,33,Post-Secondary,119471.695,11.690835
270,22579.66,15,43,Post-Secondary,105521.81,11.566673
271,16713.09,12,48,Secondary,78105.49,11.265816
272,626.5561,16,28,Post-Secondary,2928.0925,7.9821067
273,15347.67,3,35,Elementary,71724.46,11.180587
274,10159.37,7,53,Secondary,47477.914,10.76802
